,Flag Tsunami,Year,Focal Depth,EQ Primary,Intensity,Country,Region code,Coordinates,Earthquake : Damage Description
4916,0,1852,10.0,5.8,9.0,IRAN,140.0,"37.1,58.4",SEVERE (~>$5 to $24 million)
4917,0,1853,,,9.0,IRAN,140.0,"29.6,52.5",EXTREME (~$25 million or more)
4919,0,1855,,,8.0,FRANCE,120.0,"43.8,6.4",MODERATE (~$1 to $5 million)
4921,1,1859,,7.0,,EL SALVADOR,100.0,"13.7,-89.8",SEVERE (~>$5 to $24 million)
4922,1,1861,,7.5,10.0,GREECE,130.0,"38.2,22.2",LIMITED (roughly corresponding to less than $1 million)
4923,0,1863,,5.5,7.0,CHINA,30.0,"26.0,100.1",SEVERE (~>$5 to $24 million)
4925,0,1865,,,9.0,USA,150.0,"41.0,-124.5",MODERATE (~$1 to $5 million)
4927,1,1869,,7.0,9.0,PHILIPPINES,170.0,"12.5,123.5",SEVERE (~>$5 to $24 million)
4928,1,1872,,7.8,10.0,USA,150.0,"36.7,-118.1",LIMITED (roughly corresponding to less than $1 million)
4932,1,1877,40.0,8.3,11.0,CHILE,160.0,"-21.5,-70.5",MODERATE (~$1 to $5 million)
4933,1,1878,40.0,7.9,8.0,CHILE,160.0,"-19.92,-70.335",SEVERE (~>$5 to $24 million)
4934,0,1879,15.0,6.7,9.0,IRAN,140.0,"37.5,57.4",SEVERE (~>$5 to $24 million)
4935,0,1880,,6.7,10.0,TURKEY,140.0,"38.6,27.1",LIMITED (roughly corresponding to less than $1 million)
4938,0,1883,,5.5,7.0,CHINA,30.0,"37.9,112.5",MODERATE (~$1 to $5 million)
4939,0,1890,,,8.0,INDONESIA,60.0,"-6.76,111.04",MODERATE (~$1 to $5 million)
4940,1,1894,,6.9,11.0,GREECE,130.0,"38.7,23.1",SEVERE (~>$5 to $24 million)
4942,1,1895,60.0,8.2,10.0,TURKMENISTAN,140.0,"39.5,53.7",SEVERE (~>$5 to $24 million)
4944,1,1896,130.0,6.8,,INDONESIA,60.0,"-3.5,102.5",LIMITED (roughly corresponding to less than $1 million)
4945,1,1898,,7.2,,JAPAN,30.0,"38.6,142.0",SEVERE (~>$5 to $24 million)
4946,0,1900,10.0,7.4,,MEXICO,150.0,"20.0,-105.0",LIMITED (roughly corresponding to less than $1 million)
4948,0,1902,,5.5,9.0,TURKEY,140.0,"40.7,33.6",SEVERE (~>$5 to $24 million)
4952,0,1906,,6.5,,TAIWAN,30.0,"23.4,120.4",SEVERE (~>$5 to $24 million)
4954,0,1909,33.0,7.7,,IRAN,140.0,"33.0,50.0",MODERATE (~$1 to $5 million)
4956,1,1909,,,7.0,USA,150.0,"41.8,-112.7",LIMITED (roughly corresponding to less than $1 million)
4957,0,1909,,7.3,,TAIWAN,30.0,"24.4,121.8",LIMITED (roughly corresponding to less than $1 million)
4958,0,1910,,6.1,7.0,TURKEY,140.0,"40.9,34.6",SEVERE (~>$5 to $24 million)
4959,1,1912,60.0,7.8,,TURKEY,140.0,"40.5,27.2",EXTREME (~$25 million or more)
4961,0,1912,,,9.0,PHILIPPINES,170.0,"12.6,124.0",MODERATE (~$1 to $5 million)
4965,1,1922,,6.0,8.0,PHILIPPINES,170.0,"9.0,123.25",MODERATE (~$1 to $5 million)
4967,0,1923,,5.3,9.0,COLOMBIA,160.0,"1.0,-77.5",SEVERE (~>$5 to $24 million)
4969,0,1928,,,6.0,FRANCE,120.0,"44.2,9.2",MODERATE (~$1 to $5 million)
4970,0,1928,100.0,7.7,,MEXICO,150.0,"17.8,-97.6",SEVERE (~>$5 to $24 million)
4971,1,1930,,5.5,7.0,CHINA,30.0,"32.2,119.4",LIMITED (roughly corresponding to less than $1 million)
4974,0,1931,22.0,6.3,8.0,ARMENIA,40.0,"39.2,46.0",EXTREME (~$25 million or more)
4978,0,1933,90.0,6.9,,EL SALVADOR,100.0,"12.0,-87.5",MODERATE (~$1 to $5 million)
4980,0,1935,,6.0,8.0,CHINA,30.0,"29.4,102.3",LIMITED (roughly corresponding to less than $1 million)
4982,0,1936,,6.8,9.0,CHINA,30.0,"28.6,103.6",MODERATE (~$1 to $5 million)
4990,1,1945,,7.1,,JAPAN,30.0,"34.7,137.2",EXTREME (~$25 million or more)
4991,0,1945,,6.3,8.0,CHINA,30.0,"39.5,119.0",LIMITED (roughly corresponding to less than $1 million)
4994,0,1948,55.0,6.8,7.0,PERU,160.0,"-13.1,-76.2",MODERATE (~$1 to $5 million)
4995,0,1950,,7.0,,CHINA,30.0,"21.7,100.1",LIMITED (roughly corresponding to less than $1 million)
4996,1,1950,33.0,8.6,11.0,INDIA,60.0,"28.5,96.5",SEVERE (~>$5 to $24 million)
4998,1,1953,60.0,7.4,,JAPAN,30.0,"34.0,141.7",LIMITED (roughly corresponding to less than $1 million)
4999,0,1954,,6.8,,USA,150.0,"39.4,-118.5",MODERATE (~$1 to $5 million)
5000,0,1954,,6.8,8.0,INDONESIA,60.0,"-8.0,119.0",LIMITED (roughly corresponding to less than $1 million)
5002,0,1957,69.0,7.2,,TAIWAN,30.0,"23.9,121.6",MODERATE (~$1 to $5 million)
5003,0,1959,60.0,7.0,,TAIWAN,30.0,"22.18,121.13",SEVERE (~>$5 to $24 million)
5004,0,1963,3.0,4.5,9.0,IRAN,140.0,"36.9,57.8",MODERATE (~$1 to $5 million)
5006,0,1963,5.0,6.0,10.0,MACEDONIA,130.0,"42.1,21.3",EXTREME (~$25 million or more)
5007,1,1963,64.0,6.6,,INDONESIA,60.0,"-6.4,105.4",LIMITED (roughly corresponding to less than $1 million)
5010,0,1967,30.0,5.4,6.0,CHINA,30.0,"36.467,111.217",LIMITED (roughly corresponding to less than $1 million)
5011,0,1970,27.0,4.9,,TURKEY,140.0,"38.8,36.7",MODERATE (~$1 to $5 million)
5014,0,1972,33.0,6.9,5.0,TAIWAN,30.0,"23.6,121.6",MODERATE (~$1 to $5 million)
5015,0,1973,13.0,5.5,5.0,AUSTRALIA,170.0,"-34.13,150.27",LIMITED (roughly corresponding to less than $1 million)
5016,0,1977,33.0,7.5,,SOLOMON ISLANDS,170.0,"-9.844,160.822",LIMITED (roughly corresponding to less than $1 million)
5017,0,1977,6.0,5.1,7.0,ROMANIA,110.0,"42.11,23.97",MODERATE (~$1 to $5 million)
5018,1,1978,3.0,6.4,8.0,GREECE,130.0,"40.739,23.229",EXTREME (~$25 million or more)
5020,1,1979,5.0,7.9,,INDONESIA,170.0,"-1.679,136.04",SEVERE (~>$5 to $24 million)
5021,0,1980,84.0,5.8,,INDONESIA,60.0,"-8.082,108.793",MODERATE (~$1 to $5 million)
5022,0,1981,29.0,6.4,9.0,GREECE,130.0,"38.209,23.288",MODERATE (~$1 to $5 million)
5023,0,1983,10.0,6.2,8.0,USA,150.0,"36.219,-120.317",EXTREME (~$25 million or more)
5026,0,1984,12.0,5.3,8.0,ITALY,130.0,"43.26,12.558",EXTREME (~$25 million or more)
5027,0,1984,60.0,5.3,,TURKEY,140.0,"40.545,42.403",SEVERE (~>$5 to $24 million)
5028,0,1986,7.0,4.9,,VENEZUELA,160.0,"10.77,-69.428",LIMITED (roughly corresponding to less than $1 million)
5029,0,1986,132.0,6.9,8.0,ROMANIA,110.0,"45.547,26.316",EXTREME (~$25 million or more)
5030,0,1988,33.0,5.7,5.0,USA TERRITORY,90.0,"19.08,-67.256",MODERATE (~$1 to $5 million)
5031,0,1991,20.0,7.1,,MYANMAR (BURMA),60.0,"23.613,95.901",LIMITED (roughly corresponding to less than $1 million)
5032,0,1991,10.0,4.7,,YEMEN,60.0,"13.887,44.068",MODERATE (~$1 to $5 million)
5033,0,1992,14.0,7.0,,COLOMBIA,160.0,"6.845,-76.806",MODERATE (~$1 to $5 million)
5034,0,1994,8.0,5.8,7.0,USA,150.0,"42.762,-110.976",LIMITED (roughly corresponding to less than $1 million)
5035,0,1994,13.0,6.1,,IRAN,140.0,"29.096,52.617",LIMITED (roughly corresponding to less than $1 million)
5039,0,1998,33.0,5.6,,CHINA,40.0,"37.388,78.843",SEVERE (~>$5 to $24 million)
5040,0,1998,33.0,6.3,8.0,TURKEY,140.0,"36.878,35.307",EXTREME (~$25 million or more)
