,Flag Tsunami,Year,Focal Depth,EQ Primary,Intensity,Country,Region code,Coordinates,Earthquake : Damage Description
1240,1,1991,10.0,7.6,10.0,COSTA RICA,90.0,"9.685,-83.073",EXTREME (~$25 million or more)
1241,0,1991,10.0,5.2,5.0,VENEZUELA,160.0,"10.045,-69.948",MODERATE (~$1 to $5 million)
1243,0,1997,10.0,7.2,10.0,IRAN,140.0,"33.825,59.809",EXTREME (~$25 million or more)
1244,0,1998,39.0,5.4,,IRAN,140.0,"33.199,47.225",LIMITED (roughly corresponding to less than $1 million)
1245,0,1999,33.0,3.2,3.0,RUSSIA,40.0,"42.962,46.954",LIMITED (roughly corresponding to less than $1 million)
1246,1,2000,26.0,7.6,,INDONESIA,170.0,"-1.105,123.573",EXTREME (~$25 million or more)
1247,0,2000,5.0,4.1,,TURKEY,140.0,"38.164,38.777",MODERATE (~$1 to $5 million)
1248,0,2000,10.0,6.0,7.0,TURKEY,140.0,"40.693,32.992",SEVERE (~>$5 to $24 million)
1249,0,2000,33.0,6.7,,INDONESIA,60.0,"-4.612,101.905",MODERATE (~$1 to $5 million)
1250,0,2000,33.0,5.4,,INDONESIA,60.0,"-6.675,106.845",MODERATE (~$1 to $5 million)
1251,0,2000,33.0,6.4,,PHILIPPINES,170.0,"20.253,122.043",MODERATE (~$1 to $5 million)
1252,0,2000,50.0,6.8,,AZERBAIJAN,40.0,"40.245,49.946",LIMITED (roughly corresponding to less than $1 million)
1253,1,2002,21.0,6.5,,INDIA,60.0,"13.036,93.068",LIMITED (roughly corresponding to less than $1 million)
1254,1,2003,8.0,5.7,,ALGERIA,15.0,"36.939,3.578",MODERATE (~$1 to $5 million)
1255,0,2003,33.0,4.9,,INDONESIA,60.0,"-8.137,120.524",LIMITED (roughly corresponding to less than $1 million)
1256,0,2004,38.0,5.9,6.0,CHILE,160.0,"-38.854,-73.155",LIMITED (roughly corresponding to less than $1 million)
1257,0,2004,5.0,4.0,,TURKEY,140.0,"39.634,43.966",LIMITED (roughly corresponding to less than $1 million)
1258,0,2005,12.0,4.8,,CHINA,30.0,"22.526,100.709",LIMITED (roughly corresponding to less than $1 million)
1259,0,2005,11.0,5.6,,TURKEY,140.0,"39.44,40.978",MODERATE (~$1 to $5 million)
1260,0,2005,10.0,4.9,,INDIA,60.0,"17.145,73.73",MODERATE (~$1 to $5 million)
1261,0,2006,30.0,5.3,,INDIA,60.0,"27.382,88.388",LIMITED (roughly corresponding to less than $1 million)
1263,0,2007,43.0,5.0,,COLOMBIA,160.0,"2.082,-76.495",LIMITED (roughly corresponding to less than $1 million)
1265,0,2007,10.0,5.1,,INDIA,60.0,"21.181,70.724",LIMITED (roughly corresponding to less than $1 million)
1266,0,2007,25.0,5.9,,CHILE,160.0,"-32.689,-71.695",LIMITED (roughly corresponding to less than $1 million)
1267,0,2008,10.0,4.5,,INDIA,60.0,"23.33,70.592",LIMITED (roughly corresponding to less than $1 million)
1268,0,2008,33.0,6.1,,GUATEMALA,100.0,"13.564,-90.599",LIMITED (roughly corresponding to less than $1 million)
1269,0,2008,10.0,6.0,,PHILIPPINES,170.0,"12.897,124.319",LIMITED (roughly corresponding to less than $1 million)
1270,0,2008,16.0,5.7,,RUSSIA,40.0,"43.372,46.254",SEVERE (~>$5 to $24 million)
1271,0,2009,10.0,5.4,,PAKISTAN,60.0,"34.204,73.899",LIMITED (roughly corresponding to less than $1 million)
1272,0,2009,6.0,5.4,,AFGHANISTAN,40.0,"34.185,70.076",MODERATE (~$1 to $5 million)
1273,1,2009,46.0,7.0,,INDONESIA,60.0,"-7.782,107.297",SEVERE (~>$5 to $24 million)
1274,0,2010,22.0,5.2,6.0,CANADA,150.0,"45.88,-75.48",LIMITED (roughly corresponding to less than $1 million)
1276,0,2011,114.0,5.8,,INDIA,60.0,"24.955,95.236",LIMITED (roughly corresponding to less than $1 million)
1277,0,2012,10.0,5.6,7.0,BULGARIA,110.0,"42.645,22.968",MODERATE (~$1 to $5 million)
1278,0,2013,,4.2,,RUSSIA,40.0,"55.15,61.41",SEVERE (~>$5 to $24 million)
1279,0,2013,8.0,5.8,,CHINA,30.0,"28.243,99.35",SEVERE (~>$5 to $24 million)
1280,0,2014,10.0,5.3,,IRAN,140.0,"26.589,57.741",LIMITED (roughly corresponding to less than $1 million)
1282,0,2015,184.0,6.2,5.0,COLOMBIA,160.0,"6.8,-73.01",SEVERE (~>$5 to $24 million)
1283,0,2017,15.0,6.5,8.0,PHILIPPINES,170.0,"9.907,125.452",EXTREME (~$25 million or more)
1284,0,2018,10.0,4.9,,COLOMBIA,160.0,"1.032,-77.259",LIMITED (roughly corresponding to less than $1 million)
1285,0,2019,68.0,6.6,,MEXICO,150.0,"14.763,-92.298",MODERATE (~$1 to $5 million)
1286,0,-1050,,6.2,,JORDAN,140.0,"29.6,35.0",SEVERE (~>$5 to $24 million)
1287,1,-373,,7.3,11.0,GREECE,130.0,"38.25,22.25",SEVERE (~>$5 to $24 million)
1289,0,-47,,,9.0,CHINA,30.0,"34.9,104.7",MODERATE (~$1 to $5 million)
1292,0,745,,7.9,,JAPAN,30.0,"35.5,136.9",SEVERE (~>$5 to $24 million)
1293,0,876,,6.5,8.0,CHINA,30.0,"37.8,105.9",MODERATE (~$1 to $5 million)
1294,0,972,,,9.0,TURKEY,140.0,"36.1,36.1",MODERATE (~$1 to $5 million)
1295,1,991,,,9.0,SYRIA,140.0,"33.5,36.3",MODERATE (~$1 to $5 million)
1296,0,1040,,,11.0,TUNISIA,15.0,"35.7,10.0",SEVERE (~>$5 to $24 million)
1300,0,1306,,6.5,9.0,CHINA,30.0,"35.9,106.1",SEVERE (~>$5 to $24 million)
1301,0,1346,,,8.0,SWITZERLAND,120.0,"47.5,7.6",SEVERE (~>$5 to $24 million)
1303,0,1368,,6.0,7.0,CHINA,30.0,"37.6,112.5",SEVERE (~>$5 to $24 million)
1304,0,1375,,,8.0,SWITZERLAND,120.0,"46.9,8.4",SEVERE (~>$5 to $24 million)
1308,0,1493,,,9.0,GREECE,130.0,"36.8,27.0",MODERATE (~$1 to $5 million)
1309,0,1505,,,12.0,AFGHANISTAN,40.0,"34.5,69.2",SEVERE (~>$5 to $24 million)
1311,0,1512,,6.5,8.0,CHINA,30.0,"25.0,98.5",SEVERE (~>$5 to $24 million)
1312,1,1542,,6.6,10.0,ITALY,130.0,"37.07,15.3",SEVERE (~>$5 to $24 million)
1313,0,1571,,6.0,8.0,CHINA,30.0,"24.1,102.7",SEVERE (~>$5 to $24 million)
1315,1,1584,,5.9,7.0,SWITZERLAND,120.0,"46.33,6.97",SEVERE (~>$5 to $24 million)
1316,0,1597,,,9.0,PORTUGAL,130.0,"38.8,-9.4",LIMITED (roughly corresponding to less than $1 million)
1317,0,1599,,,8.0,PHILIPPINES,170.0,"14.6,121.0",MODERATE (~$1 to $5 million)
1318,1,1604,,8.0,,CHINA,30.0,"25.0,119.5",SEVERE (~>$5 to $24 million)
1319,1,1608,,7.6,,IRAN,140.0,"36.4,50.5",SEVERE (~>$5 to $24 million)
1320,1,1627,,8.0,10.0,PHILIPPINES,170.0,"18.4,121.6",SEVERE (~>$5 to $24 million)
1323,0,1634,,6.0,8.0,CHINA,30.0,"34.1,105.3",SEVERE (~>$5 to $24 million)
1326,0,1647,,8.5,11.0,CHILE,160.0,"-33.4,-70.6",EXTREME (~$25 million or more)
1327,0,1654,,,10.0,ITALY,130.0,"41.4,13.6",SEVERE (~>$5 to $24 million)
1328,0,1660,,,6.0,ITALY,130.0,"44.63,10.93",LIMITED (roughly corresponding to less than $1 million)
1334,0,1704,,5.5,7.0,CHINA,30.0,"38.0,116.5",MODERATE (~$1 to $5 million)
1335,1,1737,,8.0,11.0,CHILE,160.0,"-43.0,-74.0",MODERATE (~$1 to $5 million)
1338,1,1746,30.0,8.0,11.0,PERU,160.0,"-11.996,-77.198",EXTREME (~$25 million or more)
1341,0,1775,,,8.0,VENEZUELA,160.0,"9.2,-70.3",MODERATE (~$1 to $5 million)
1343,0,1793,,6.0,8.0,CHINA,30.0,"30.6,101.5",MODERATE (~$1 to $5 million)
1346,0,1806,,7.7,,CHINA,40.0,"28.5,92.0",MODERATE (~$1 to $5 million)
1347,1,1810,,7.4,9.0,MEXICO,150.0,"26.0,-111.35",MODERATE (~$1 to $5 million)
1349,0,1816,,6.5,8.0,CHINA,30.0,"31.4,100.7",SEVERE (~>$5 to $24 million)
1351,1,1830,,,9.0,PHILIPPINES,170.0,"14.55,120.9",MODERATE (~$1 to $5 million)
1352,1,1834,,6.4,,JAPAN,30.0,"43.3,141.4",LIMITED (roughly corresponding to less than $1 million)
1353,0,1836,,,11.0,ITALY,130.0,"40.1,15.8",MODERATE (~$1 to $5 million)
1355,0,1845,,6.0,8.0,TAIWAN,30.0,"24.1,120.5",SEVERE (~>$5 to $24 million)
1357,0,1855,,6.7,,TURKEY,140.0,"40.2,29.1",SEVERE (~>$5 to $24 million)
1361,0,1859,,,11.0,ITALY,130.0,"42.8,13.1",MODERATE (~$1 to $5 million)
1362,0,1863,,,10.0,TURKEY,140.0,"38.53,30.55",SEVERE (~>$5 to $24 million)
1363,1,1867,,7.0,,TAIWAN,30.0,"25.34,121.91",MODERATE (~$1 to $5 million)
1365,0,1869,,7.5,10.0,TURKEY,130.0,"37.0,28.0",SEVERE (~>$5 to $24 million)
1368,0,1872,,4.9,7.0,GHANA,10.0,"5.5,-0.4",MODERATE (~$1 to $5 million)
1371,0,1878,,4.3,,MEXICO,150.0,"34.1,-117.3",SEVERE (~>$5 to $24 million)
1374,0,1885,,,8.0,PHILIPPINES,170.0,"9.8,125.5",SEVERE (~>$5 to $24 million)
1377,0,1892,,,10.0,MEXICO,150.0,"31.5,-116.5",SEVERE (~>$5 to $24 million)
1378,0,1895,,6.8,,IRAN,140.0,"37.1,58.4",EXTREME (~$25 million or more)
1383,1,1901,33.0,8.2,,JAPAN,30.0,"40.6,142.3",MODERATE (~$1 to $5 million)
1384,1,1901,,7.8,,USA,150.0,"51.45,-171.02",LIMITED (roughly corresponding to less than $1 million)
1385,0,1902,,,8.0,USA,150.0,"37.4,-113.5",MODERATE (~$1 to $5 million)
1387,0,1909,,6.3,9.0,TURKEY,140.0,"40.2,37.8",SEVERE (~>$5 to $24 million)
1389,0,1915,10.0,7.5,11.0,ITALY,130.0,"42.0,13.5",EXTREME (~$25 million or more)
1390,0,1916,80.0,7.2,9.0,DOMINICAN REPUBLIC,90.0,"18.5,-68.0",LIMITED (roughly corresponding to less than $1 million)
1391,1,1918,33.0,8.3,10.0,PHILIPPINES,170.0,"5.5,123.0",SEVERE (~>$5 to $24 million)
1395,0,1920,25.0,6.2,11.0,ALBANIA,130.0,"40.2,20.0",SEVERE (~>$5 to $24 million)
1396,1,1923,,7.2,8.0,USA,150.0,"40.8,-124.5",LIMITED (roughly corresponding to less than $1 million)
1397,0,1923,13.0,7.3,10.0,CHINA,30.0,"31.5,101.0",SEVERE (~>$5 to $24 million)
1400,0,1930,4.0,5.0,9.0,ALBANIA,130.0,"40.3,19.6",MODERATE (~$1 to $5 million)
1402,0,1934,,6.6,8.0,USA,150.0,"41.7,-112.8",MODERATE (~$1 to $5 million)
1404,0,1937,,5.0,7.0,CHINA,30.0,"37.8,112.5",MODERATE (~$1 to $5 million)
1405,0,1938,,6.0,8.0,CHINA,30.0,"21.7,99.5",LIMITED (roughly corresponding to less than $1 million)
1407,0,1940,,6.0,,CHINA,30.0,"42.7,121.3",MODERATE (~$1 to $5 million)
1408,1,1941,20.0,8.0,,INDIA,60.0,"11.94,92.626",EXTREME (~$25 million or more)
1411,0,1949,230.0,7.5,8.0,AFGHANISTAN,40.0,"36.0,70.5",MODERATE (~$1 to $5 million)
1416,0,1954,,7.0,,CHINA,30.0,"38.8,104.2",MODERATE (~$1 to $5 million)
1418,0,1960,,6.5,,GREECE,130.0,"40.0,20.0",MODERATE (~$1 to $5 million)
1419,1,1961,74.0,7.3,,JAPAN,30.0,"31.6,131.8",MODERATE (~$1 to $5 million)
1421,0,1966,8.0,7.4,9.0,CHINA,30.0,"37.35,114.92",EXTREME (~$25 million or more)
1423,0,1966,64.0,4.6,,TURKEY,140.0,"38.9,41.3",SEVERE (~>$5 to $24 million)
1424,0,1967,80.0,6.8,9.0,INDONESIA,60.0,"-9.2,113.1",SEVERE (~>$5 to $24 million)
1425,0,1968,,5.0,7.0,ARMENIA,40.0,"39.1,46.1",MODERATE (~$1 to $5 million)
1426,0,1969,43.0,6.2,11.0,PERU,160.0,"-11.7,-75.1",MODERATE (~$1 to $5 million)
1427,0,1970,35.0,5.4,9.0,PERU,160.0,"-9.9,-75.6",SEVERE (~>$5 to $24 million)
1428,0,1971,34.0,8.1,9.0,INDONESIA,170.0,"-3.1,139.7",MODERATE (~$1 to $5 million)
1429,0,1971,8.0,6.5,11.0,USA,150.0,"34.412,-118.4",EXTREME (~$25 million or more)
1430,0,1971,10.0,5.1,,IRAN,140.0,"29.8,51.9",SEVERE (~>$5 to $24 million)
1433,1,1973,27.0,7.2,8.0,RUSSIA,50.0,"50.5,156.6",MODERATE (~$1 to $5 million)
1434,0,1975,33.0,6.1,,VENEZUELA,160.0,"10.04,-69.75",MODERATE (~$1 to $5 million)
1435,0,1977,89.0,7.5,,ROMANIA,110.0,"45.777,26.703",EXTREME (~$25 million or more)
1436,0,1979,33.0,6.6,,IRAN,140.0,"33.918,59.741",SEVERE (~>$5 to $24 million)
1437,0,1979,33.0,6.3,,INDONESIA,60.0,"-8.39,115.889",MODERATE (~$1 to $5 million)
1438,0,1980,32.0,5.6,6.0,NEW ZEALAND,170.0,"-39.542,176.478",MODERATE (~$1 to $5 million)
1439,0,1982,34.0,7.0,6.0,MEXICO,150.0,"16.558,-98.358",MODERATE (~$1 to $5 million)
1441,0,1983,79.0,6.6,7.0,INDONESIA,60.0,"5.723,94.722",MODERATE (~$1 to $5 million)
1442,1,1983,15.0,7.3,7.0,CHILE,160.0,"-26.535,-70.563",MODERATE (~$1 to $5 million)
1443,0,1983,14.0,7.3,9.0,USA,150.0,"43.974,-113.916",SEVERE (~>$5 to $24 million)
1444,0,1985,10.0,7.1,8.0,INDONESIA,170.0,"-1.639,134.911",LIMITED (roughly corresponding to less than $1 million)
1446,0,1987,41.0,4.6,,IRAN,140.0,"34.076,48.266",LIMITED (roughly corresponding to less than $1 million)
1447,0,1987,29.0,4.9,4.0,CHINA,30.0,"24.924,115.608",SEVERE (~>$5 to $24 million)
1448,0,1987,10.0,5.7,8.0,USA,150.0,"34.061,-118.078",EXTREME (~$25 million or more)
1449,0,1987,63.0,6.0,8.0,JAPAN,30.0,"35.362,140.214",MODERATE (~$1 to $5 million)
1450,0,1988,14.0,5.5,,CHINA,30.0,"38.111,106.336",SEVERE (~>$5 to $24 million)
1451,0,1989,18.0,5.0,6.0,RUSSIA,40.0,"43.522,45.362",MODERATE (~$1 to $5 million)
1452,0,1989,9.0,6.0,,INDONESIA,170.0,"-4.219,136.667",MODERATE (~$1 to $5 million)
1454,0,1990,26.0,7.6,,INDONESIA,170.0,"1.186,122.857",SEVERE (~>$5 to $24 million)
1455,0,1990,21.0,6.3,8.0,NEW ZEALAND,170.0,"-40.296,176.064",MODERATE (~$1 to $5 million)
1456,0,1990,15.0,6.3,,PAKISTAN,60.0,"27.398,65.719",LIMITED (roughly corresponding to less than $1 million)
1458,0,1992,9.0,5.5,,PAKISTAN,60.0,"29.087,66.74",MODERATE (~$1 to $5 million)
1459,1,1994,18.0,6.7,9.0,USA,150.0,"34.213,-118.537",EXTREME (~$25 million or more)
1460,0,1995,13.0,5.6,,CHINA,30.0,"36.427,103.123",SEVERE (~>$5 to $24 million)
1461,1,1995,46.0,8.0,7.0,CHILE,160.0,"-23.34,-70.294",MODERATE (~$1 to $5 million)
1463,0,1997,101.0,6.5,7.0,USA TERRITORY,170.0,"13.986,144.901",LIMITED (roughly corresponding to less than $1 million)
1465,0,1998,33.0,6.3,,MEXICO,150.0,"15.883,-96.298",MODERATE (~$1 to $5 million)
1467,0,1998,10.0,5.5,8.0,SERBIA,130.0,"44.209,20.08",MODERATE (~$1 to $5 million)
1468,0,2001,10.0,6.5,,GREECE,130.0,"39.059,24.244",LIMITED (roughly corresponding to less than $1 million)
1469,0,2003,10.0,5.8,,IRAN,140.0,"28.355,54.169",SEVERE (~>$5 to $24 million)
1470,0,2003,33.0,5.5,,CHINA,40.0,"29.573,95.605",LIMITED (roughly corresponding to less than $1 million)
1472,0,2003,34.0,4.4,,BULGARIA,110.0,"43.083,27.486",MODERATE (~$1 to $5 million)
1473,1,2004,14.0,7.2,,JAPAN,30.0,"33.07,136.618",LIMITED (roughly corresponding to less than $1 million)
1475,0,2005,10.0,4.2,,CHINA,30.0,"23.604,107.798",LIMITED (roughly corresponding to less than $1 million)
1477,0,2006,14.0,4.1,,IRAN,140.0,"30.79,56.7",LIMITED (roughly corresponding to less than $1 million)
1478,0,2006,31.0,5.2,,INDONESIA,170.0,"-3.728,119.233",LIMITED (roughly corresponding to less than $1 million)
1480,0,2007,18.0,6.0,,KYRGYZSTAN,40.0,"39.803,70.311",MODERATE (~$1 to $5 million)
1481,1,2007,39.0,8.0,8.0,PERU,160.0,"-13.386,-76.603",EXTREME (~$25 million or more)
1482,0,2007,7.0,4.8,,IRAN,140.0,"31.68,49.93",LIMITED (roughly corresponding to less than $1 million)
1484,1,2009,10.0,7.3,,HONDURAS,90.0,"16.72,-86.236",MODERATE (~$1 to $5 million)
1485,0,2009,10.0,5.2,,BHUTAN,60.0,"27.319,91.51",MODERATE (~$1 to $5 million)
1486,0,2011,8.0,6.8,,MYANMAR (BURMA),60.0,"20.687,99.822",MODERATE (~$1 to $5 million)
1487,0,2011,29.0,5.3,,CHINA,40.0,"32.447,95.948",LIMITED (roughly corresponding to less than $1 million)
1488,0,2011,5.0,5.7,,TURKEY,140.0,"38.429,43.229",LIMITED (roughly corresponding to less than $1 million)
1490,0,2014,28.0,6.1,7.0,NEW ZEALAND,170.0,"-40.66,175.814",LIMITED (roughly corresponding to less than $1 million)
1491,0,2014,13.0,6.1,,NICARAGUA,100.0,"12.403,-86.378",MODERATE (~$1 to $5 million)
1492,0,2014,6.0,6.1,5.0,THAILAND,60.0,"19.656,99.67",EXTREME (~$25 million or more)
1494,0,2014,10.0,5.6,,CHINA,30.0,"23.358,100.533",MODERATE (~$1 to $5 million)
1495,0,2015,10.0,4.5,3.0,PERU,160.0,"-15.693,-71.934",MODERATE (~$1 to $5 million)
1496,0,2015,18.0,5.6,5.0,KYRGYZSTAN,40.0,"40.376,73.204",MODERATE (~$1 to $5 million)
1497,0,2015,5.0,5.1,4.0,VENEZUELA,160.0,"8.48,-71.42",LIMITED (roughly corresponding to less than $1 million)
1498,0,2016,21.0,5.6,6.0,INDONESIA,60.0,"-8.194,117.814",MODERATE (~$1 to $5 million)
1499,1,2016,15.0,7.8,8.0,NEW ZEALAND,170.0,"-42.737,173.054",MODERATE (~$1 to $5 million)
1500,0,2017,3.0,4.9,,TURKEY,140.0,"38.764,27.778",MODERATE (~$1 to $5 million)
1501,0,2018,9.0,6.0,5.0,INDONESIA,60.0,"-7.456,114.453",LIMITED (roughly corresponding to less than $1 million)
1502,1,2018,14.0,6.8,,GREECE,130.0,"37.506,20.563",LIMITED (roughly corresponding to less than $1 million)
1503,0,2019,14.0,5.6,,IRAN,140.0,"34.121,45.681",LIMITED (roughly corresponding to less than $1 million)
1504,0,2019,10.0,5.8,,TURKEY,140.0,"37.948,29.697",MODERATE (~$1 to $5 million)
1505,0,2019,18.0,6.5,,INDONESIA,170.0,"-3.45,128.347",SEVERE (~>$5 to $24 million)
1506,0,2020,23.0,5.0,8.0,INDONESIA,60.0,"-6.808,106.676",MODERATE (~$1 to $5 million)
1507,0,-364,100.0,,,ITALY,130.0,"35.0,25.0",LIMITED (roughly corresponding to less than $1 million)
1508,0,-26,,5.5,7.0,CHINA,30.0,"28.8,104.6",MODERATE (~$1 to $5 million)
1510,0,60,,,9.0,TURKEY,140.0,"37.9,29.2",SEVERE (~>$5 to $24 million)
1511,0,143,,7.0,9.0,CHINA,30.0,"34.7,105.3",LIMITED (roughly corresponding to less than $1 million)
1514,0,558,,,10.0,ITALY,130.0,"43.6,13.5",SEVERE (~>$5 to $24 million)
1515,0,715,,,9.0,TURKEY,140.0,"40.4,28.9",MODERATE (~$1 to $5 million)
1517,0,844,,,8.0,SYRIA,140.0,"33.5,36.3",EXTREME (~$25 million or more)
1518,0,953,18.0,7.1,10.0,TURKMENISTAN,40.0,"38.0,58.3",SEVERE (~>$5 to $24 million)
1520,0,1106,,,8.0,TURKEY,140.0,"36.2,36.1",LIMITED (roughly corresponding to less than $1 million)
1521,0,1119,,6.5,,IRAN,140.0,"36.2,50.0",SEVERE (~>$5 to $24 million)
1523,0,1208,,6.5,,IRAN,140.0,"36.3,57.6",SEVERE (~>$5 to $24 million)
1524,1,1257,,7.0,,JAPAN,30.0,"35.2,139.5",LIMITED (roughly corresponding to less than $1 million)
1526,0,1300,,6.5,,IRAN,140.0,"36.8,56.0",SEVERE (~>$5 to $24 million)
1527,0,1319,,,7.0,IRAN,140.0,"39.1,44.5",SEVERE (~>$5 to $24 million)
1528,0,1336,,7.6,,IRAN,140.0,"34.7,59.7",SEVERE (~>$5 to $24 million)
1531,0,1356,,,10.0,PORTUGAL,130.0,"36.8,-9.0",SEVERE (~>$5 to $24 million)
1534,0,1391,,,8.0,SWITZERLAND,120.0,"47.4,7.2",SEVERE (~>$5 to $24 million)
1536,0,1475,5.0,6.4,9.0,KYRGYZSTAN,40.0,"42.6,75.2",MODERATE (~$1 to $5 million)
1537,0,1478,,5.5,7.0,CHINA,30.0,"27.5,101.6",MODERATE (~$1 to $5 million)
1538,0,1495,,6.3,8.0,CHINA,30.0,"37.6,105.6",MODERATE (~$1 to $5 million)
1541,0,1517,,5.5,7.0,CHINA,30.0,"24.1,102.6",LIMITED (roughly corresponding to less than $1 million)
1545,1,1570,,8.3,11.0,CHILE,160.0,"-36.75,-73.0",MODERATE (~$1 to $5 million)
1548,0,1600,,,6.0,PHILIPPINES,170.0,"14.6,121.0",MODERATE (~$1 to $5 million)
1554,0,1688,,,10.0,ITALY,130.0,"44.4,12.0",SEVERE (~>$5 to $24 million)
1555,0,1699,40.0,7.8,7.0,PERU,160.0,"-12.1,-76.6",SEVERE (~>$5 to $24 million)
1556,0,1725,60.0,7.7,9.0,PERU,160.0,"-9.0,-79.0",SEVERE (~>$5 to $24 million)
1558,0,1769,,,7.0,IRAQ,140.0,"33.0,44.5",SEVERE (~>$5 to $24 million)
1559,0,1780,,,10.0,MONTENEGRO,130.0,"42.4,18.8",SEVERE (~>$5 to $24 million)
1560,0,1786,,,8.0,VENEZUELA,160.0,"8.5,-71.2",MODERATE (~$1 to $5 million)
1561,1,1787,,7.3,,MEXICO,150.0,"15.5,-97.0",MODERATE (~$1 to $5 million)
1564,1,1820,,7.6,,MEXICO,150.0,"17.2,-99.6",SEVERE (~>$5 to $24 million)
1565,0,1821,,,8.0,PERU,160.0,"-16.107,-72.967",SEVERE (~>$5 to $24 million)
1566,0,1822,,,11.0,TURKEY,140.0,"36.0,36.0",EXTREME (~$25 million or more)
1567,0,1829,,,10.0,ROMANIA,110.0,"44.2,26.1",SEVERE (~>$5 to $24 million)
1568,0,1839,,6.0,8.0,CHINA,30.0,"26.1,99.9",MODERATE (~$1 to $5 million)
1569,1,1840,,6.5,9.0,PHILIPPINES,170.0,"12.9,123.9",SEVERE (~>$5 to $24 million)
1579,0,1865,,,9.0,ITALY,130.0,"37.7,15.1",LIMITED (roughly corresponding to less than $1 million)
1581,0,1870,,,10.0,ITALY,130.0,"39.2,16.3",MODERATE (~$1 to $5 million)
1586,0,1885,,6.9,7.0,BANGLADESH,60.0,"24.8,89.5",MODERATE (~$1 to $5 million)
1589,0,1897,,,7.0,ITALY,130.0,"39.0,12.5",LIMITED (roughly corresponding to less than $1 million)
1590,0,1898,5.0,4.3,8.0,IRAN,140.0,"36.5,54.9",MODERATE (~$1 to $5 million)
1591,0,1898,,,10.0,CROATIA,130.0,"43.6,16.7",LIMITED (roughly corresponding to less than $1 million)
1600,0,1905,,6.8,9.0,TURKEY,140.0,"38.1,38.6",SEVERE (~>$5 to $24 million)
1601,1,1908,40.0,7.0,11.0,ITALY,130.0,"38.17,15.58",EXTREME (~$25 million or more)
1602,0,1913,10.0,7.0,9.0,CHINA,30.0,"24.15,102.45",SEVERE (~>$5 to $24 million)
1606,0,1919,,,8.0,PHILIPPINES,170.0,"12.0,122.0",MODERATE (~$1 to $5 million)
1607,0,1920,,7.8,10.0,MEXICO,150.0,"19.26,-96.97",MODERATE (~$1 to $5 million)
1608,0,1920,10.0,6.0,8.0,ARGENTINA,160.0,"-32.7,-68.4",SEVERE (~>$5 to $24 million)
1613,0,1926,7.0,5.7,9.0,TURKEY,140.0,"40.7,43.7",EXTREME (~$25 million or more)
1614,0,1926,,,9.0,INDONESIA,60.0,"-7.1,109.0",SEVERE (~>$5 to $24 million)
1615,0,1928,7.0,6.8,10.0,BULGARIA,110.0,"42.2,25.3",EXTREME (~$25 million or more)
1617,0,1929,57.0,5.8,,IRAN,140.0,"37.5,58.0",MODERATE (~$1 to $5 million)
1618,0,1930,,6.0,8.0,CHINA,30.0,"26.8,103.0",MODERATE (~$1 to $5 million)
1619,0,1930,12.0,6.0,11.0,ALBANIA,130.0,"40.5,19.5",SEVERE (~>$5 to $24 million)
1623,0,1931,25.0,8.0,11.0,CHINA,40.0,"47.1,89.8",EXTREME (~$25 million or more)
1626,0,1932,,7.6,10.0,CHINA,30.0,"39.7,96.7",SEVERE (~>$5 to $24 million)
1628,0,1936,,5.5,,CHINA,40.0,"39.5,74.2",LIMITED (roughly corresponding to less than $1 million)
1629,0,1937,,5.2,8.0,ALGERIA,15.0,"36.4,7.5",LIMITED (roughly corresponding to less than $1 million)
1630,1,1937,,,8.0,PAPUA NEW GUINEA,170.0,"-4.271,152.203",LIMITED (roughly corresponding to less than $1 million)
1631,0,1938,,,7.0,MEXICO,150.0,"16.1,-98.3",SEVERE (~>$5 to $24 million)
1635,1,1946,70.0,7.0,7.0,PERU,160.0,"-14.0,-76.25",MODERATE (~$1 to $5 million)
1636,1,1947,12.0,7.1,4.0,NEW ZEALAND,170.0,"-38.85,178.87",LIMITED (roughly corresponding to less than $1 million)
1637,1,1947,28.0,6.9,9.0,GREECE,130.0,"37.0,22.0",EXTREME (~$25 million or more)
1638,0,1949,,,5.0,USA,150.0,"33.75,-118.25",SEVERE (~>$5 to $24 million)
1639,1,1949,33.0,7.8,,CHILE,160.0,"-54.0,-71.0",LIMITED (roughly corresponding to less than $1 million)
1640,1,1953,,7.2,10.0,GREECE,130.0,"38.3,20.8",EXTREME (~$25 million or more)
1642,1,1955,33.0,6.2,10.0,GREECE,130.0,"39.4,23.1",EXTREME (~$25 million or more)
1644,1,1956,,7.1,5.0,CHILE,160.0,"-19.0,-70.0",LIMITED (roughly corresponding to less than $1 million)
1645,1,1956,,5.3,7.0,NEW ZEALAND,170.0,"-38.9,175.7",LIMITED (roughly corresponding to less than $1 million)
1647,0,1958,60.0,7.3,9.0,PERU,160.0,"-16.5,-72.0",MODERATE (~$1 to $5 million)
1649,1,1958,60.0,7.6,9.0,COLOMBIA,160.0,"1.5,-79.5",MODERATE (~$1 to $5 million)
1650,0,1959,100.0,6.8,,MEXICO,150.0,"17.0,-96.3",SEVERE (~>$5 to $24 million)
1655,0,1962,34.0,6.1,,ITALY,130.0,"41.4,15.5",MODERATE (~$1 to $5 million)
1656,0,1963,38.0,5.1,,IRAN,140.0,"33.2,49.2",MODERATE (~$1 to $5 million)
1657,0,1967,55.0,5.9,,GREECE,130.0,"39.5,21.2",MODERATE (~$1 to $5 million)
