time,latitude,longitude,depth,mag
2021-09-09,42.7934,143.4135,101.08,4.2
2021-09-10,31.0311,139.6106,151.6,4.3
2021-09-10,40.9779,142.5441,55.74,4.2
2021-09-11,41.1445,143.1013,38.37,4.2
2021-09-11,38.7574,144.2236,10.0,4.4
2021-09-12,33.0546,132.0425,49.05,4.5
2021-09-12,37.8372,141.9857,42.47,4.4
2021-09-12,34.8195,139.9499,57.26,4.2
2021-09-13,39.3386,142.5974,49.34,4.9
2021-09-13,32.4784,137.8572,370.0,5.8
2021-09-15,35.0744,140.7817,81.76,4.4
2021-09-15,30.4392,140.19,10.0,4.7
2021-09-16,38.5782,142.355,35.0,4.6
2021-09-16,44.4746,148.9368,45.16,4.2
2021-09-16,37.4707,137.2472,10.0,4.9
2021-09-17,37.7637,141.6016,47.97,4.5
2021-09-17,38.1671,141.7744,45.53,4.4
2021-09-18,34.2715,141.1012,10.0,4.6
2021-09-18,36.4505,140.493,72.26,4.4
2021-09-19,36.2633,137.7364,10.0,5.1
2021-09-19,36.276,137.6419,6.46,4.2
2021-09-19,37.5858,142.1042,35.0,4.4
2021-09-20,45.0938,147.51,155.81,4.3
2021-09-21,44.4443,147.9099,111.93,4.4
2021-09-21,43.5585,146.1673,74.66,4.5
2021-09-24,38.1509,141.8037,62.51,4.5
2021-09-24,33.9816,141.9384,10.0,4.4
2021-09-24,37.3358,138.2813,10.0,4.5
2021-09-25,30.6821,131.2671,38.37,4.5
2021-09-27,38.5989,142.0474,59.21,4.6
2021-09-27,36.7055,141.1649,50.4,4.6
2021-09-27,38.1263,141.9171,57.48,4.3
2021-09-29,36.4576,140.6943,57.6,4.5
2021-09-29,38.8893,135.4527,364.0,6.1
2021-09-30,41.0094,142.1415,53.04,4.4
2021-09-30,31.8713,141.3069,29.42,4.2
2021-09-30,38.5137,141.9969,67.62,4.6
2021-08-01,34.4672,139.758,123.4,4.3
2021-08-02,35.0453,133.0453,20.81,4.4
2021-08-02,44.1569,148.3143,29.0,5.3
2021-08-02,44.2797,146.4946,142.15,4.2
2021-08-02,36.1783,141.8431,27.47,4.7
2021-08-02,36.2416,141.9017,15.48,4.4
2021-08-03,42.8193,140.9553,146.05,4.5
2021-08-03,36.2176,141.8978,16.03,4.5
2021-08-03,36.1727,141.9275,17.2,4.6
2021-08-03,33.0535,137.0409,400.49,4.0
2021-08-03,36.1948,141.9343,16.99,5.0
2021-08-03,36.1162,142.1782,10.0,4.4
2021-08-03,36.1978,141.9399,35.0,4.5
2021-08-03,36.1887,142.0747,20.12,4.6
2021-08-03,44.1552,147.5807,75.45,4.3
2021-08-03,36.8907,141.9864,35.0,4.5
2021-08-03,37.3504,142.2019,37.13,4.7
2021-08-03,36.0981,142.1045,27.0,5.8
2021-08-03,36.1586,142.1403,21.93,4.9
2021-08-03,36.2381,141.9013,23.53,4.9
2021-08-03,36.2148,141.9301,26.41,4.7
2021-08-03,36.1397,142.1001,10.0,5.2
2021-08-03,36.1692,142.3469,10.0,4.5
2021-08-03,36.3955,141.7489,24.63,4.4
2021-08-03,36.2437,141.9691,10.0,4.5
2021-08-03,36.1542,142.3022,10.0,4.2
2021-08-03,36.2211,142.1031,10.0,4.1
2021-08-03,36.0787,142.1689,10.0,4.5
2021-08-03,36.2494,142.0744,10.0,4.4
2021-08-03,36.1428,142.0719,10.0,4.9
2021-08-03,36.1767,141.7882,23.5,4.5
2021-08-04,36.077,142.2197,10.0,4.4
2021-08-04,36.1619,141.9568,19.79,4.3
2021-08-04,36.2281,141.9604,30.67,4.3
2021-08-04,36.2756,141.9541,36.29,4.2
2021-08-04,36.1722,142.1333,10.0,4.3
2021-08-04,36.2458,142.0116,32.29,4.2
2021-08-04,36.15,141.8218,35.0,4.1
2021-08-04,36.2425,141.9935,12.57,4.8
2021-08-04,36.258,142.0519,10.0,4.8
2021-08-04,36.1826,142.3371,10.0,4.6
2021-08-04,36.1778,141.8625,14.0,5.4
2021-08-04,36.1178,141.9632,30.51,4.1
2021-08-04,36.2078,141.8615,34.14,4.8
2021-08-04,36.1777,141.9808,10.0,4.8
2021-08-04,36.8278,141.2449,41.72,4.5
2021-08-04,36.2094,142.1607,21.68,4.2
2021-08-04,36.2366,141.8954,27.08,4.8
2021-08-04,36.124,142.0166,10.0,4.4
2021-08-04,35.8782,142.529,10.0,4.2
2021-08-04,36.6575,141.3199,41.7,4.3
2021-08-04,32.6158,141.7764,10.0,4.4
2021-08-05,36.2666,141.5916,35.0,4.5
2021-08-06,44.5283,147.664,165.66,4.2
2021-08-06,38.6621,141.1684,108.56,4.5
2021-08-08,41.4144,142.0761,64.73,4.0
2021-08-08,43.1193,146.4227,67.47,4.4
2021-08-09,36.4659,141.4276,37.3,4.4
2021-08-10,44.1574,148.3205,35.0,5.0
2021-08-10,40.9394,142.9894,43.92,4.3
2021-08-12,43.7831,147.528,55.61,4.4
2021-08-12,34.9341,140.3363,66.81,4.6
2021-08-13,36.5733,141.0737,35.0,4.5
2021-08-13,36.7118,141.8126,11.85,4.5
2021-08-14,43.3908,147.4853,35.0,4.4
2021-08-15,35.4524,136.3642,10.0,4.3
2021-08-16,44.8481,146.6737,158.26,4.2
2021-08-16,41.5979,131.393,559.68,4.3
2021-08-17,32.7517,141.9307,10.0,4.8
2021-08-17,34.974,133.0558,10.0,4.5
2021-08-19,41.4839,142.022,57.49,4.3
2021-08-20,44.735,144.7527,10.0,4.3
2021-08-20,35.6839,140.4007,48.05,4.4
2021-08-21,44.3301,147.9878,106.84,4.2
2021-08-21,44.7244,144.7547,23.35,4.4
2021-08-21,41.958,142.7306,73.29,4.2
2021-08-21,33.7652,141.5463,10.0,4.7
2021-08-21,36.0387,142.4909,10.0,5.2
2021-08-22,37.582,141.7748,56.96,5.3
2021-08-22,40.1927,141.3309,97.72,4.4
2021-08-23,40.7181,145.072,10.0,4.7
2021-08-23,31.5274,142.694,10.0,4.2
2021-08-23,39.3093,143.6793,19.68,4.3
2021-08-24,44.5513,147.698,102.21,4.5
2021-08-24,35.7959,135.5134,358.19,4.2
2021-08-25,36.1057,140.1731,44.85,4.3
2021-08-26,35.9065,142.6939,10.0,4.5
2021-08-26,36.4446,141.1201,34.35,4.8
2021-08-26,36.4405,141.2803,26.49,5.0
2021-08-27,44.8948,147.4806,129.02,4.2
2021-08-27,37.3693,140.3184,103.86,4.3
2021-08-29,35.9253,143.1154,10.0,4.5
2021-08-31,30.9932,130.3913,165.49,4.3
2021-08-31,33.8182,135.3042,33.63,4.0
2021-08-31,42.5469,141.6087,106.81,3.9
2021-07-01,44.5795,147.4278,129.03,4.5
2021-07-02,41.4989,142.1589,62.09,4.2
2021-07-03,39.7542,142.049,59.74,4.3
2021-07-03,41.9113,142.5143,55.49,4.4
2021-07-03,38.6358,141.7642,70.23,4.2
2021-07-04,36.6471,141.0365,51.3,4.4
2021-07-04,40.4367,144.9976,10.0,4.3
2021-07-06,44.7187,141.9308,242.35,4.5
2021-07-06,30.3622,138.6493,443.14,4.1
2021-07-07,43.1623,144.1745,102.65,4.2
2021-07-07,42.8395,147.5647,10.0,4.3
2021-07-07,33.6982,132.2509,52.54,4.5
2021-07-07,37.206,134.9975,370.11,4.6
2021-07-07,31.9552,141.6984,10.0,4.2
2021-07-08,31.9596,143.6793,10.0,5.2
2021-07-09,43.3356,144.2396,144.6,4.1
2021-07-09,40.5044,141.8752,66.39,4.3
2021-07-09,37.2826,143.7541,19.07,5.3
2021-07-09,37.0674,143.8249,10.0,4.4
2021-07-12,32.0222,141.8193,10.0,4.7
2021-07-13,31.1049,141.5498,19.28,4.5
2021-07-15,39.8665,143.5958,11.74,4.6
2021-07-16,33.2825,139.5273,11.53,5.4
2021-07-16,33.2096,139.4151,10.0,4.2
2021-07-16,33.2742,139.4827,10.0,4.5
2021-07-16,33.2932,139.5494,10.0,4.4
2021-07-16,33.1046,139.3865,10.0,4.3
2021-07-16,33.1641,139.4569,18.25,4.3
2021-07-16,42.3657,144.3027,35.0,4.4
2021-07-17,33.7477,141.7963,10.0,4.2
2021-07-17,36.3146,137.6439,10.0,4.2
2021-07-17,33.6171,131.825,63.64,5.2
2021-07-17,37.5737,141.8193,51.25,4.3
2021-07-18,33.9999,133.8743,40.78,4.6
2021-07-18,36.9787,139.1938,10.0,4.6
2021-07-18,36.97,139.2056,10.0,4.5
2021-07-18,32.2432,141.7377,10.0,4.6
2021-07-19,37.4657,142.8409,10.0,4.0
2021-07-19,36.9628,142.3738,35.0,4.5
2021-07-20,33.6621,141.044,73.86,4.3
2021-07-23,30.4979,141.4301,10.0,4.3
2021-07-23,31.7581,139.6253,151.7,4.4
2021-07-26,41.4815,142.0615,55.88,5.2
2021-07-26,34.369,136.6864,368.25,4.2
2021-07-26,44.4619,148.1888,97.37,4.5
2021-07-26,37.3756,141.2536,92.47,4.6
2021-07-27,36.616,140.9679,46.82,4.6
2021-07-27,34.5615,136.619,353.89,4.4
2021-07-27,36.3686,140.0385,79.3,4.6
2021-07-28,35.3003,141.0774,37.55,4.5
2021-07-29,36.6841,141.5677,42.87,4.6
2021-07-30,40.1664,142.4207,40.48,4.5
2021-07-30,33.4784,141.15,35.0,4.2
2021-07-31,33.8647,134.5869,41.43,4.7
2021-07-31,43.3488,141.6214,167.77,5.0
2021-07-31,33.8656,141.9196,10.0,4.3
2021-06-01,40.1959,142.4964,37.68,4.8
2021-06-01,42.001,144.2792,25.05,4.6
2021-06-01,38.9493,142.1729,63.26,4.3
2021-06-02,30.8714,142.2203,10.0,4.5
2021-06-02,36.1168,141.7464,35.0,4.4
2021-06-02,30.5308,131.1152,39.85,4.5
2021-06-03,43.8613,147.4187,40.0,4.3
2021-06-04,32.0125,139.8917,127.23,4.4
2021-06-05,36.4003,142.701,10.0,4.3
2021-06-06,31.3015,131.6558,41.16,4.3
2021-06-06,37.6847,142.2248,46.18,4.5
2021-06-06,34.5639,140.2966,85.66,5.0
2021-06-07,42.8531,143.9664,65.62,4.4
2021-06-07,36.5225,141.7004,42.2,4.3
2021-06-07,30.9133,142.3077,10.0,4.2
2021-06-08,37.8148,141.8306,58.22,4.8
2021-06-08,36.4075,143.0603,10.0,5.3
2021-06-08,39.899,142.1931,44.11,4.9
2021-06-09,35.5577,139.7215,130.53,4.5
2021-06-09,40.1213,142.3654,42.51,5.0
2021-06-10,41.0007,142.2853,56.68,4.8
2021-06-10,42.1987,142.8435,76.14,4.6
2021-06-11,39.868,142.2289,35.91,4.1
2021-06-12,43.1589,141.611,161.91,4.4
2021-06-13,36.3754,143.1172,10.0,4.3
2021-06-13,40.9637,141.9169,66.01,4.0
2021-06-13,36.8339,140.591,10.0,4.2
2021-06-14,43.1781,145.6821,70.59,4.2
2021-06-15,33.6404,138.6055,10.0,4.5
2021-06-15,30.2668,138.7912,418.11,4.2
2021-06-17,34.8992,141.7647,10.0,4.5
2021-06-18,34.5034,140.6554,10.0,4.2
2021-06-18,33.5055,132.5646,41.87,4.9
2021-06-20,43.5582,142.6172,151.93,5.3
2021-06-23,37.8229,144.4386,10.0,4.6
2021-06-23,43.5341,146.147,113.92,4.3
2021-06-24,38.5605,144.5973,10.0,4.3
2021-06-25,30.8075,141.9444,10.0,4.3
2021-06-27,40.1891,142.7201,38.39,4.1
2021-06-28,43.0045,145.2487,75.65,4.2
2021-06-29,35.6419,140.3552,44.66,4.3
2021-06-29,31.7709,131.7087,49.86,5.0
2021-06-29,38.6817,141.985,79.74,4.1
2021-06-30,37.2356,141.3935,44.12,4.0
2021-06-30,35.8605,140.8596,10.0,4.2
2021-06-30,39.5924,140.4231,135.56,4.5
2021-06-30,39.2381,142.2479,52.94,4.4
2021-05-01,39.4976,140.5824,142.11,4.5
2021-05-01,38.1997,141.5973,43.0,6.9
2021-05-02,33.091,140.1021,139.24,4.0
2021-05-02,30.2365,138.7697,432.84,4.1
2021-05-02,42.6509,142.9561,88.31,4.4
2021-05-03,30.4453,131.4185,35.0,4.6
2021-05-04,37.1861,141.8522,9.5,5.0
2021-05-04,43.3752,146.4745,54.04,4.8
2021-05-04,42.3956,144.5788,35.0,4.3
2021-05-05,40.2048,143.4012,10.0,4.6
2021-05-06,32.6931,130.6038,10.0,4.4
2021-05-06,42.2956,142.4364,82.88,4.3
2021-05-06,31.5573,131.2714,57.51,4.3
2021-05-08,31.9824,140.3369,87.97,5.1
2021-05-08,39.8472,143.8948,10.0,4.2
2021-05-08,32.0388,140.4263,84.57,4.6
2021-05-08,31.931,140.5414,72.72,4.7
2021-05-08,36.6434,141.788,10.0,4.4
2021-05-09,36.1407,140.1535,72.44,4.2
2021-05-10,43.8531,146.6917,87.24,4.5
2021-05-10,41.4939,142.0734,58.35,4.3
2021-05-11,40.2487,142.325,57.99,4.4
2021-05-12,38.4231,133.6897,455.61,4.0
2021-05-12,32.4961,141.4927,35.0,4.9
2021-05-12,32.4936,141.136,35.0,4.4
2021-05-13,44.4027,148.47,52.12,5.0
2021-05-13,37.7169,141.8167,32.0,6.0
2021-05-14,38.0258,141.3548,44.61,4.4
2021-05-14,35.6564,139.6978,74.51,4.4
2021-05-14,42.4623,142.5545,25.39,4.5
2021-05-15,36.2522,141.7617,20.74,4.7
2021-05-15,32.625,138.886,10.0,4.3
2021-05-15,35.9793,140.0071,58.99,4.1
2021-05-16,42.0159,144.4738,9.0,5.7
2021-05-16,41.9053,144.4866,10.0,4.4
2021-05-16,41.9182,144.1799,10.0,4.1
2021-05-16,37.6349,141.6153,48.24,4.5
2021-05-16,42.0692,144.4858,10.0,4.3
2021-05-17,32.7593,139.016,217.89,4.1
2021-05-17,42.1119,144.0278,10.0,4.3
2021-05-18,42.1049,144.0354,48.01,4.7
2021-05-18,36.8515,135.0632,382.39,4.0
2021-05-18,38.2946,141.682,63.6,4.3
2021-05-19,39.1324,142.1033,56.31,4.2
2021-05-19,37.6654,141.907,51.6,4.4
2021-05-19,40.5102,142.0843,56.03,4.4
